text_input,output
"Hi, I have  continuous_sneezing,  shivering,  chills,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  shivering,  chills,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  continuous_sneezing,  chills,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  continuous_sneezing,  shivering,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  continuous_sneezing,  shivering,  chills. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  shivering,  chills,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  continuous_sneezing,  chills,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  continuous_sneezing,  shivering,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  continuous_sneezing,  shivering,  chills. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  continuous_sneezing,  shivering,  chills,  watering_from_eyes. What should I do?","It seems like you have Allergy. Don't worry.An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.You can apply calamine, cover area with bandage. "
"Hi, I have  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  acidity,  vomiting,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  acidity,  vomiting,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have  stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain. What should I do?","It seems like you have GERD. Don't worry.Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.You can avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise. "
"Hi, I have itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes. What should I do?","It seems like you have Chronic cholestasis. Don't worry.Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most casesYou can cold baths, anti itch medicine, consult doctor, eat healthy. "
"Hi, I have itching,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  stomach_pain,  burning_micturition,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  skin_rash,  burning_micturition,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  skin_rash,  stomach_pain,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  skin_rash,  stomach_pain,  burning_micturition. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  stomach_pain,  burning_micturition,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  skin_rash,  burning_micturition,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  skin_rash,  stomach_pain,  spotting_ urination. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have itching,  skin_rash,  stomach_pain,  burning_micturition. What should I do?","It seems like you have Drug Reaction. Don't worry.An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.You can stop irritation, consult nearest hospital, stop taking drug, follow up. "
"Hi, I have  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  indigestion,  loss_of_appetite,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching. What should I do?","It seems like you have Peptic ulcer diseae. Don't worry.Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.You can avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol. "
"Hi, I have  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  patches_in_throat,  high_fever,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  muscle_wasting,  high_fever,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  muscle_wasting,  patches_in_throat,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  muscle_wasting,  patches_in_throat,  high_fever. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  patches_in_throat,  high_fever,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  muscle_wasting,  high_fever,  extra_marital_contacts. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  muscle_wasting,  patches_in_throat,  high_fever. What should I do?","It seems like you have AIDS. Don't worry.Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.You can avoid open cuts, wear ppe if possible, consult doctor, follow up. "
"Hi, I have  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria. What should I do?","It seems like you have Diabetes. Don't worry.Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.You can have balanced diet, exercise, consult doctor, follow up. "
"Hi, I have  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria. What should I do?","It seems like you have Diabetes. Don't worry.Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.You can have balanced diet, exercise, consult doctor, follow up. "
"Hi, I have  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria. What should I do?","It seems like you have Diabetes. Don't worry.Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.You can have balanced diet, exercise, consult doctor, follow up. "
"Hi, I have  fatigue,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria. What should I do?","It seems like you have Diabetes. Don't worry.Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.You can have balanced diet, exercise, consult doctor, follow up. "
"Hi, I have  fatigue,  weight_loss,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria. What should I do?","It seems like you have Diabetes. Don't worry.Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.You can have balanced diet, exercise, consult doctor, follow up. "
